Target,TIC,Author,Sector,Temperature,Plx,Gmag,BP-RP,Type,Spectral Type,2MASS,TESS Mag,Blend,ra,dec,Gaia DR3 Source ID,Gaia Match Sep arcsec
UCAC4 552-019438,358568109,Cody et al.,,13316.0,0.6999,12.749857,1.072755,Herbig Ae/Be,B7-B8,J05505477+2014476,12.33,N,87.72820833333331,20.246555555555556,3399707446488135552,0.09952500943878846
VOS 35,358901633,Cody et al.,,,1.3632,13.286403,1.630845,Herbig Ae/Be,F,J23101132+6555587,12.53,N,347.54716666666667,65.93297222222223,2208975695512792064,0.21656805465205017
VOS 105,362789897,Cody et al.,,6033.0,0.4941,14.43136,1.876401,Herbig Ae/Be,F5,J19422811+2306515,13.48,N,295.61712499999993,23.114305555555557,2020080113265080832,0.1481203704064733
CO Ori,365776906,Cody et al.,,,2.5049,11.086226,1.484228,Herbig Ae/Be,F3-F6,J05273833+1125389,10.84,N,81.90970833333333,11.427472222222221,3339339963154835072,0.10934393257816144
V1977 Cyg,367036276,Cody et al.,,,1.1987,10.703158,1.074207,Herbig Ae/Be,B8,J20473745+4347249,10.22,N,311.9060416666666,43.79025,2067032661374161408,0.15132401141899532
BO Cep,367420555,Cody et al.,,6381.5,2.6751,11.402972,0.834785,Herbig Ae/Be,F3-F5,J22165406+7003450,10.96,N,334.22524999999996,70.0625,2229359472855896832,0.08428112640536509
Hen 3-823,369496705,Cody et al.,,35370.2,0.6456,10.234678,0.409578,Herbig Ae/Be,B4,J12484238-5954350,10.08,N,192.17658333333333,-59.90972222222222,6056678497650355328,0.05584711117132871
BH Cep,372070676,Cody et al.,,6196.4,3.0526,11.11797,0.94925,Herbig Ae/Be,F1-F4,J22014287+6944364,10.68,N,330.42862499999995,69.74344444444445,2223441007923049600,0.16831628774447452
VOS 1026,377617067,Cody et al.,,,0.3368,12.135482,0.699469,Herbig Ae/Be,B0.5,J23122637+6058129,11.87,N,348.109875,60.97025,2014090042628166656,0.012205162643923573
VOS 672,377893466,Cody et al.,,6355.0,0.289,13.234411,1.604283,Herbig Ae/Be,B1.5-B8,J23160757+6001437,12.42,N,349.0315416666666,60.02880555555556,2013834955933319680,0.03945149711103962
WW Vul,385894679,Cody et al.,,,2.062,10.550161,0.628012,Herbig Ae/Be,A3-A4,J19255874+2112313,10.12,N,291.49475,21.208694444444443,2018777118955910400,0.1619882944576803
HD 58647,386040374,Cody et al.,,,3.2831,6.779404,0.143508,Herbig Ae/Be,B8,J07255610-1410435,6.71,N,111.48375,-14.178749999999999,3031754986908175616,0.14001827665488986
HD 200775,387813185,Cody et al.,,5814.3,2.8175,7.179865,0.722841,Herbig Ae/Be,B4,J21013691+6809476,6.77,Y,315.4037916666666,68.16322222222223,2270245431209611776,0.23123258886044895
MWC 655,388143588,Cody et al.,,40785.5,0.5118,9.168422,0.709086,Herbig Ae/Be,B2-B3,J22383182+5550052,8.86,N,339.6325833333333,55.83477777777778,2006549179574504320,0.17395745879595545
V380 Ori,388935225,Cody et al.,,5781.3,2.6425,10.525793,1.517498,Herbig Ae/Be,B9,J05362543-0642577,9.78,Y,84.10595833333332,-6.716027777777778,3016923017420354688,0.030561594202004348
GSC 8645-1401,390384783,Cody et al.,,5813.9,0.5395,12.829108,1.676692,Herbig Ae/Be,A9-F2,J12174750-5943590,11.98,N,184.44791666666663,-59.73305555555556,6059122810733714432,0.0994817841053765
VOS 759,395172881,Cody et al.,,,1.232,12.250196,1.035078,Herbig Ae/Be,A8,J21400313+4802106,11.71,N,325.01304166666665,48.03627777777778,1978002902777895552,0.1312013519567297
HD 179218,396284614,Cody et al.,,,3.8448,7.372153,0.138811,Herbig Ae/Be,B9,J19111124+1547155,7.32,N,287.79683333333327,15.787638888888889,4512807594894454912,0.3497991497203152
MQ Cas,396300742,Cody et al.,,,1.3094,13.87631,0.932791,Herbig Ae/Be,B9,J00093755+5813106,12.97,N,2.406458333333333,58.219611111111114,422867640861343744,0.25109042456541725
GSC 3975-0579,401214336,Cody et al.,,,1.0583,11.491503,0.504811,Herbig Ae/Be,A0-A1,J21380845+5726476,11.26,N,324.5352083333333,57.446555555555555,2178394394502336768,0.05350507084455493
VOS 199,408081161,Cody et al.,,7719.4,0.9513,13.093594,0.711534,Herbig Ae/Be,F1,J19555428+1932354,12.7,N,298.97616666666664,19.543166666666668,1823174039068377216,0.10390153974791584
PDS 27,409323949,Cody et al.,,3699.6,0.3867,12.815218,2.283444,Herbig Ae/Be,B4-B5,J07193593-1739180,11.79,N,109.89970833333332,-17.654999999999998,2931756259785199744,0.15095347763893133
WRAY 15-1435,409406992,Cody et al.,,27714.1,0.3976,12.34059,1.611987,Herbig Ae/Be,B2-B3,J16130668-5023199,11.67,N,243.27783333333326,-50.38886111111111,5935138138694177664,0.2244356727097105
VOS 934,410736126,Cody et al.,,,0.5008,12.545625,1.203676,Herbig Ae/Be,A2,J03283262+5113543,11.94,N,52.13591666666666,51.231750000000005,442287245287225856,0.14238209704548266
VOS 911,410951921,Cody et al.,,13055.4,0.3393,12.46088,0.833817,Herbig Ae/Be,B2-B4,J16160533-5046035,12.03,N,244.0222083333333,-50.76763888888889,5935057668182928256,0.15675008095975052
VOS 473,412645923,Cody et al.,,,1.0981,12.445158,0.567841,Herbig Ae/Be,A0,J21590612+6040533,12.19,N,329.77549999999997,60.68147222222222,2203217037728935296,0.04867439513996983
V594 Cas,420018149,Cody et al.,,5798.2,1.7921,10.266892,1.02737,Herbig Ae/Be,B7-B8,J00431825+6154402,9.73,N,10.826041666666665,61.91116666666667,427618149568528384,0.1375683914613193
VOS 1126,420307432,Cody et al.,,16156.1,0.3004,13.148563,1.239166,Herbig Ae/Be,B2,J22585908+5918024,12.59,N,344.7461666666666,59.300666666666665,2013507915639151488,0.06593079318132448
HBC 442,427352999,Cody et al.,,6060.5,2.5829,10.074726,0.784991,Herbig Ae/Be,F8-G1,J05341416-0536542,9.65,N,83.55899999999998,-5.615055555555555,3017260709226477952,0.039967944895544665
HD 36917,427373765,Cody et al.,,,2.22,7.961615,0.37739,Herbig Ae/Be,B8,J05344698-0534145,6.1,N,83.69574999999999,-5.570694444444444,3017264007761349504,0.1358072682003751
HD 36982,427395300,Cody et al.,,,2.4489,8.34164,0.300551,Herbig Ae/Be,B2,J05350983-0527532,8.17,N,83.79095833333332,-5.464777777777778,3017360348171372672,0.12189861578660172
NV Ori,427395473,Cody et al.,,6977.7,2.5796,9.69661,0.625295,Herbig Ae/Be,F0-F2,J05353136-0533088,9.37,N,83.88066666666666,-5.552444444444444,3017346952181227776,0.16434964949374453
